RACK,INDEX,BARCODE ID,PACK EOL START,Cell Voltage #1_ESS,Cell Voltage #2_ESS,Cell Voltage #3_ESS,Cell Voltage #4_ESS,Cell Voltage #5_ESS,Cell Voltage #6_ESS,Cell Voltage #7_ESS,Cell Voltage #8_ESS,Cell Voltage #9_ESS,Cell Voltage #10_ESS,Cell Voltage #11_ESS,Cell Voltage #12_ESS,Cell Voltage #13_ESS,Cell Voltage #14_ESS,Cell Voltage #15_ESS,Cell Voltage #16_ESS,Cell Voltage #17_ESS,Cell Voltage #18_ESS,Cell Voltage #19_ESS,Cell Voltage #20_ESS,Cell Voltage #21_ESS,Cell Voltage #22_ESS,Cell Voltage #23_ESS,Cell Voltage #24_ESS,Cell Voltage #25_ESS,Cell Voltage #26_ESS,Cell Voltage #27_ESS,Cell Voltage #28_ESS,Cell Voltage #29_ESS,Cell Voltage #30_ESS
3,4,EP096636PFBABSA2601141211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,EP096636PFBABSA2601141207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,EP096636PFBABSA2601141137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,EP096636PFBABSA2601151030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,EP096636PFBABSA2601151040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,EP096636PFBABSA2601151049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,EP096636PFBABSA2601151046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,EP096636PFBABSA2601111237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,EP096636PFBABSA2601111013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,EP096636PFBABSA2601131286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,EP096636PFBABSA2601141214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,EP096636PFBABSA2601141263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,EP096636PFBABSA2601141278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,EP096636PFBABSA2601141286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,EP096636PFBABSA2601141285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,EP096636PFBABSA2601141139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,EP096636PFBABSA2601141283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,EP096636PFBABSA2601141140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,EP096636PFBABSA2601141133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,EP096636PFBABSA2601151013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,EP096636PFBABSA2601151015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11,EP096636PFBABSA2601141280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12,EP096636PFBABSA2601141284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,EP096636PFBABSA2601141316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14,EP096636PFBABSA2601141303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,EP096636PFBABSA2601141161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,EP096636PFBABSA2601141160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,EP096636PFBABSA2601141163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,EP096636PFBABSA2601141155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,EP096636PFBABSA2601131061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,EP096636PFBABSA2601141169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,EP096636PFBABSA2601141168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,EP096636PFBABSA2601141167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,EP096636PFBABSA2601141159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,EP096636PFBABSA2601151207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,EP096636PFBABSA2601151208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,EP096636PFBABSA2601151224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13,EP096636PFBABSA2601151233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14,EP096636PFBABSA2601151232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,EP096636PFBABSA2601141203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,EP096636PFBABSA2601141209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,EP096636PFBABSA2601141301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,EP096636PFBABSA2601141299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,EP096636PFBABSA2601141208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,EP096636PFBABSA2601141264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,EP096636PFBABSA2601141300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,EP096636PFBABSA2601141279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,EP096636PFBABSA2601141138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,EP096636PFBABSA2601141291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11,EP096636PFBABSA2601151198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12,EP096636PFBABSA2601141290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13,EP096636PFBABSA2601141310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14,EP096636PFBABSA2601141276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
